GemName;Usage(GS);%Usage;Usage(NR);Downloads
rails;734;1;7425;5864849
pg;251;0,342;2161;749233
jquery-rails;454;0,6185;2482;956401
haml;390;0,5313;4458;1943493
simple_form;136;0,1853;665;167627
carrierwave;140;0,1907;795;194723
sass-rails;244;0,3324;402;336305
uglifier;260;0,3542;486;355335
compass;208;0,2834;1496;508300
therubyracer;119;0,1621;267;145871
rspec-rails;511;0,6962;1640;1312088
ruby-debug19;174;0,2371;232;167352
capybara;392;0,5341;983;683720
guard-rspec;160;0,218;101;87430
rb-fsevent;130;0,1771;103;71401
growl;93;0,1267;83;49662
factory_girl_rails;330;0,4496;852;456162
valid_attribute;13;0,0177;1;2156
newrelic_rpm;234;0,3188;4935;560331
redis-store;28;0,0381;181;36262
resque;116;0,158;886;326823
meta_where;41;0,0559;331;69851
meta_search;66;0,0899;497;145551
attr_bucket;1;0,0014;3;2153
will_paginate;293;0,3992;5274;1387156
oa-oauth;29;0,0395;1182;258867
devise;364;0,4959;3330;1017956
devise-twitter;1;0,0014;4;1839
rest-client;59;0,0804;2834;1355790
aws-s3;148;0,2016;3224;614561
paperclip;262;0,3569;3389;817438
nokogiri;229;0,312;4597;2419093
mysql2;283;0,3856;1889;951590
mongrel;116;0,158;554;686686
capistrano;319;0,4346;1319;1044539
capistrano-ext;155;0,2112;614;321916
rake;237;0,3229;7444;6485780
rack;63;0,0858;7570;7064053
sass;165;0,2248;1726;763310
sprockets;30;0,0409;639;602401
hoptoad_notifier;182;0,248;2931;530263
formtastic;145;0,1975;1700;429452
uuidtools;34;0,0463;721;811143
redcarpet;35;0,0477;94;40337
mini_magick;90;0,1226;550;187031
resque_mailer;21;0,0286;148;40661
state_machine;129;0,1757;787;262211
plist;2;0,0027;52;76022
recurly;10;0,0136;104;20371
system_timer;25;0,0341;263;113522
gibbon;10;0,0136;56;9992
client_side_validations;31;0,0422;148;40209
no_peeping_toms;8;0,0109;23;8730
possessive;5;0,0068;19;2222
mime-types;49;0,0668;7326;4155126
home_run;10;0,0136;29;16194
recaptcha;28;0,0381;353;69877
rack-raw-upload;8;0,0109;17;9205
bcrypt-ruby;60;0,0817;3703;1401343
geokit;58;0,079;1188;216692
useragent;8;0,0109;52;13576
ruby-hmac;24;0,0327;1403;515210
ruby-debug;174;0,2371;802;550470
hirb;82;0,1117;452;290452
wirble;85;0,1158;306;171726
autotest-standalone;10;0,0136;24;16806
autotest-fsevent;21;0,0286;28;68931
launchy;284;0,3869;1757;837624
rack-test;51;0,0695;6547;3871219
rvm;12;0,0163;31;212281
haml-rails;149;0,203;743;189441
hpricot;114;0,1553;1649;781458
ruby_parser;62;0,0845;550;381392
acts-as-taggable-on;80;0,109;810;184573
kaltura_fu;2;0,0027;1;2253
kaminari;158;0,2153;758;163858
vagrant;3;0,0041;5;52639
thinking-sphinx;67;0,0913;753;203570
ts-delayed-delta;9;0,0123;127;30745
whenever;136;0,1853;1106;292610
cucumber-rails;224;0,3052;885;600571
database_cleaner;338;0,4605;933;615124
capybara-webkit;52;0,0708;22;23423
headless;14;0,0191;24;15741
vcr;58;0,079;69;49671
webmock;89;0,1213;133;162376
simple-rss;12;0,0163;167;62354
redis;85;0,1158;1265;533648
chronic;54;0,0736;1067;453973
RedCloth;98;0,1335;1601;662703
ruby-recaptcha;3;0,0041;62;15999
javan-whenever;4;0,0054;150;0
velir_kaltura-ruby;2;0,0027;4;4747
tripwire_notifier;1;0,0014;20;2925
savon;23;0,0313;281;139471
net-ldap;11;0,015;959;271549
dynamic_form;69;0,094;438;97180
escape_utils;50;0,0681;273;105962
linecache19;4;0,0054;235;260003
test-unit;35;0,0477;215;224529
gherkin;9;0,0123;904;968785
cucumber;116;0,158;953;1036013
rspec;199;0,2711;1785;1946910
mysql;110;0,1499;1734;1723318
slim_scrooge;5;0,0068;56;12473
alchemist;2;0,0027;16;9472
authlogic;84;0,1144;2189;484528
stringex;28;0,0381;352;223880
acts_as_list;74;0,1008;638;189529
princely;2;0,0027;17;6615
cancan;210;0,2861;1488;413488
fastercsv;138;0,188;2392;890987
campaign_monitor_party;1;0,0014;24;7371
acts_as_tree;15;0,0204;207;62256
money;34;0,0463;536;152778
json;166;0,2262;4222;2871033
google_currency;6;0,0082;25;7212
backup;19;0,0259;95;32875
pony;11;0,015;115;72926
mail;34;0,0463;6386;3870102
delayed_job;163;0,2221;2377;353409
daemons;52;0,0708;3372;1571300
andand;12;0,0163;188;83016
searchlogic;18;0,0245;612;178318
validation_reflection;21;0,0286;234;52816
activerecord-tableless;3;0,0041;74;24269
inaction_mailer;2;0,0027;6;4770
acts_as_commentable;12;0,0163;177;36142
query_trace;2;0,0027;12;11914
ruby-prof;51;0,0695;289;178171
bullet;31;0,0422;107;38909
annotate;81;0,1104;240;115222
foreigner;29;0,0395;174;57533
ffaker;49;0,0668;116;44661
metric_fu;36;0,049;165;98241
webrat;87;0,1185;566;565100
mocha;152;0,2071;756;606322
spork;206;0,2807;548;349405
velir_virtualbox;1;0,0014;1;80
devise_invitable;39;0,0531;223;58818
wysihat-engine;1;0,0014;8;6988
ranked-model;1;0,0014;16;1735
rack-ssl;17;0,0232;713;484536
jammit-s3;7;0,0095;62;7546
heroku;80;0,109;1137;542899
rabl;16;0,0218;70;13437
mustache;16;0,0218;95;73864
poirot;1;0,0014;1;503
omniauth;110;0,1499;926;205931
settingslogic;33;0,045;213;60752
rails3-jquery-autocomplete;33;0,045;209;50986
awesome_print;107;0,1458;430;238734
shoulda;135;0,1839;585;363228
fuubar;45;0,0613;70;60676
timecop;142;0,1935;337;159092
mysqlplus;3;0,0041;16;47679
oauth2;27;0,0368;1617;402980
xml-simple;25;0,0341;2939;1132185
text;6;0,0082;73;25802
oauth;60;0,0817;2343;757952
twitter;73;0,0995;861;291878
linkedin;14;0,0191;100;18350
erubis;33;0,045;6484;3733069
libxml-ruby;24;0,0327;487;398785
braintree;18;0,0245;737;230843
populator;18;0,0245;120;45795
nested_layouts;1;0,0014;13;4593
ssl_requirement;12;0,0163;146;26169
ruby-openid;18;0,0245;1324;459215
okkez-open_id_authentication;1;0,0014;1;539
authlogic-oid;4;0,0054;72;28857
email_spec;90;0,1226;247;163675
rack-debug;9;0,0123;11;7561
adzap-ar_mailer;1;0,0014;56;10024
aasm;49;0,0668;636;168569
bitly;22;0,03;315;60779
db_populate;1;0,0014;7;3070
bluecloth;15;0,0204;268;118602
slugged;4;0,0054;13;2259
inherited_resources;97;0,1322;1007;233548
carmen;34;0,0463;218;34612
configatron;16;0,0218;259;90460
resque-scheduler;35;0,0477;317;77373
daemon-spawn;6;0,0082;80;26967
ts-resque-delta;3;0,0041;16;3453
acts_as_geocodable;16;0,0218;42;8407
pickler;3;0,0041;11;8054
sanitize;55;0,0749;566;147317
capistrano-gitflow;3;0,0041;3;4522
sitemap_generator;29;0,0395;222;50800
ancestry;43;0,0586;185;48234
fog;89;0,1213;796;263991
koala;31;0,0422;396;70801
oauth-plugin;10;0,0136;146;30745
guard-compass;12;0,0163;4;4578
guard-livereload;48;0,0654;49;28995
guard-spork;76;0,1035;57;38789
googlecharts;18;0,0245;222;64901
simplecov;104;0,1417;92;89668
pry;91;0,124;44;57995
bourne;15;0,0204;10;12654
factory_girl;161;0,2193;1505;888076
faraday;9;0,0123;1921;561185
coffee-rails;187;0,2548;238;246749
bourbon;15;0,0204;22;6360
hashie;19;0,0259;1168;423170
httparty;74;0,1008;2005;635447
yajl-ruby;70;0,0954;718;537188
fancy-buttons;20;0,0272;147;45090
thin;157;0,2139;799;609110
responders;25;0,0341;986;244901
web-app-theme;28;0,0381;60;30444
guard-bundler;54;0,0736;34;18646
coffee-script;60;0,0817;634;378467
